Date, Apartment Complex Name, Unit, Price
10/20/2019,The Ventura,A1beds1baths1sq.ft798,$1160-$1175
10/20/2019,The Ventura,B2beds2baths2sq.ft1039,"$1,400 "
10/21/2019,San Brisas,A2,"$1,400 "
10/21/2019,Country Brook,A1,$1086 -to $1443
10/21/2019,Country Brook,A2,$1121 -to $1431
10/21/2019,Country Brook,A3,$1131 -to $1449
10/21/2019,Country Brook,A4,$1225 -to $1486
10/21/2019,Country Brook,B1,$1329 -to $1797
10/21/2019,Country Brook,B2,$1334 -to $1766
10/21/2019,San Tierra,1Bed-1Bath|801sq.ft.,"$1,155 "
10/21/2019,San Tierra,2Bed-2Bath|1005sq.ft,"$1,430 "
10/21/2019,San Tierra,2Bed-2Bath|1050sq.ft,"$1,435 "
10/21/2019,San Tierra,2Bed-2Bath|1082sq.ft,"$1,410 "
10/21/2019,Reflections at Gila Springs,1Bed-1Bath|824sq.ft.,"$1,185 "
10/21/2019,Reflections at Gila Springs,1Bed-1Bath|949sq.ft.,"$1,400 "
10/21/2019,Reflections at Gila Springs,2Bed-2Bath|1186sq.ft,"$1,595 "
10/21/2019,Reflections at Gila Springs,2Bed-2Bath|1156sq.ft,"$1,375 "
10/21/2019,The Ventura,A1beds1baths1sq.ft798,$1175-$1300
10/21/2019,The Ventura,B2beds2baths2sq.ft1039,"$1,420 "
